YEAR_S,YEAR_L,Annual,Index,Annual ED,IndexED
1967,1/1/67,33.4,7.307664671,,
1968,1/1/68,34.8,7.013678161,,
1969,1/1/69,36.7,6.650572207,,
1970,1/1/70,38.8,6.290618557,,
1971,1/1/71,40.5,6.026567901,,
1972,1/1/72,41.8,5.839138756,,
1973,1/1/73,44.4,5.497207207,,
1974,1/1/74,49.3,4.950831643,,
1975,1/1/75,53.8,4.536728625,,
1976,1/1/76,56.9,4.289560633,,
1977,1/1/77,60.6,4.027656766,,
1978,1/1/78,65.2,3.743496933,,
1979,1/1/79,72.6,3.361928375,,
1980,1/1/80,82.4,2.962087379,,
1981,1/1/81,90.9,2.68510451,,
1982,1/1/82,96.5,2.529284974,,
1983,1/1/83,99.6,2.450562249,,
1984,1/1/84,103.9,2.349143407,,
1985,1/1/85,107.6,2.268364312,,
1986,1/1/86,109.6,2.226970803,,
1987,1/1/87,113.6,2.148556338,,
1988,1/1/88,118.3,2.063195266,,
1989,1/1/89,124,1.968354839,,
1990,1/1/90,130.7,1.867452181,,
1991,1/1/91,136.2,1.792041116,,
1992,1/1/92,140.3,1.739672131,,
1993,1/1/93,144.5,1.689107266,85.5,1.600222222
1994,1/1/94,148.2,1.646936572,88.8,1.540754505
1995,1/1/95,152.4,1.601548556,92.2,1.483937093
1996,1/1/96,156.9,1.555615041,95.3,1.435666317
1997,1/1/97,160.5,1.520722741,98.4,1.390436992
1998,1/1/98,163,1.497398773,100.3,1.364097707
1999,1/1/99,166.6,1.465042017,101.2,1.351966403
2000,1/1/00,172.2,1.417398374,102.5,1.334819512
2001,1/1/01,177.1,1.378181818,105.2,1.300560837
2002,1/1/02,179.9,1.356731518,107.9,1.268016682
2003,1/1/03,184,1.3265,109.8,1.246074681
2004,1/1/04,188.9,1.292091053,111.6,1.225976703
2005,1/1/05,195.3,1.249749104,113.7,1.203333333
2006,1/1/06,201.6,1.210694444,116.8,1.171395548
2007,1/1/07,207.342,1.177166228,119.577,1.144191609
2008,1/1/08,215.303,1.133639568,123.631,1.106672275
2009,1/1/09,214.537,1.137687205,127.393,1.073991507
2010,1/1/10,218.056,1.119327145,129.919,1.053110015
2011,1/1/11,224.939,1.085076398,131.466,1.040717752
2012,1/1/12,229.594,1.063076561,133.844,1.022227369
2013,1/1/13,232.957,1.047729839,135.886,1.006866049
2014,1/1/14,236.736,1.031005001,137.518,0.994917029
2015,1/1/15,237.017,1.029782674,138.209,0.989942768
2016,1/1/16,240.007,1.016953672,139.133,0.983368432
2017,1/1/17,244.076,1,136.819,1